leg_case,leg_stat,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
ADM,CRT_RESL,P_HTHAB,EL	926.54 	746.76 	918.80 	928.61 	883.52 	: 	: 	: 	: 	: 
ADM,CRT_RESL,P_HTHAB,ES	370.79 	396.30 	431.38 	441.92 	485.73 	520.56 	524.12 	542.82 	526.75 	505.35 
ADM,CRT_RESL,P_HTHAB,FI	412.53 	432.78 	362.75 	364.12 	372.00 	381.13 	406.49 	427.08 	403.56 	422.06 
ADM,CRT_RESL,P_HTHAB,FR	: 	: 	298.30 	304.13 	294.00 	305.64 	270.95 	: 	: 	: 
ADM,CRT_RESL,P_HTHAB,HR	359.71 	373.97 	314.53 	281.84 	208.46 	115.44 	378.92 	362.92 	352.29 	344.32 
ADM,CRT_RESL,P_HTHAB,HU	176.25 	198.76 	193.87 	168.00 	170.43 	136.92 	140.00 	137.07 	127.36 	127.76 
ADM,CRT_RESL,P_HTHAB,IT	125.20 	138.03 	144.08 	163.15 	179.45 	245.73 	208.75 	307.19 	164.18 	148.95 
ADM,CRT_RESL,P_HTHAB,LT	464.24 	745.70 	577.66 	433.60 	394.63 	263.48 	193.64 	204.04 	139.27 	204.63 
ADM,CRT_RESL,P_HTHAB,LU	193.68 	200.61 	203.57 	233.41 	: 	: 	: 	: 	: 	: 
ADM,CRT_RESL,P_HTHAB,LV	107.58 	115.95 	127.94 	171.87 	229.27 	255.48 	224.28 	214.38 	172.64 	179.67 
ADM,CRT_RESL,P_HTHAB,ME	756.60 	663.75 	522.42 	525.49 	540.67 	477.67 	585.95 	613.08 	425.01 	308.35 
ADM,CRT_RESL,P_HTHAB,MT	25.85 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ADM,CRT_RESL,P_HTHAB,NL	: 	: 	468.73 	478.66 	462.57 	444.22 	463.00 	446.39 	427.76 	443.84 
ADM,CRT_RESL,P_HTHAB,PL	204.27 	208.05 	214.06 	213.69 	198.88 	188.80 	172.61 	168.64 	156.02 	154.08 
ADM,CRT_RESL,P_HTHAB,PT	255.58 	286.77 	267.11 	: 	: 	: 	: 	: 	: 	: 
ADM,CRT_RESL,P_HTHAB,RO	760.01 	544.14 	647.28 	841.71 	1077.26 	960.96 	563.74 	331.33 	318.87 	252.57 
ADM,CRT_RESL,P_HTHAB,RS	272.43 	272.37 	262.58 	281.93 	254.50 	: 	: 	: 	: 	: 
ADM,CRT_RESL,P_HTHAB,SE	1469.58 	1364.95 	1363.99 	1418.43 	1384.73 	1449.49 	1454.58 	1273.96 	1295.15 	1386.34 
ADM,CRT_RESL,P_HTHAB,SI	: 	125.42 	145.62 	166.85 	164.46 	178.40 	171.64 	200.10 	237.90 	245.29 
ADM,CRT_RESL,P_HTHAB,SK	2.04 	3.28 	3.26 	6.22 	3.66 	4.79 	5.54 	7.44 	4.85 	4.95 
ADM,CRT_RESL,P_HTHAB,TR	: 	732.43 	607.14 	566.26 	548.27 	543.05 	563.83 	533.18 	497.05 	: 
